LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,Neighborhood,HouseStyle,RoofStyle,Exterior,Heating,SaleCondition,SalePrice
17795.0,2,2,2012,461.0,2561,0,,OldTown,1Story,Hip,VinylSd,GasA,Normal,177623
2860.0,1,7,1981,634.0,1466,0,939.0,OldTown,2Story,Gable,VinylSd,GasA,Abnorml,109837
7390.0,5,1,2015,636.0,3407,3,228.0,Somerst,1.5Fin,Flat,HdBoard,Grav,Normal,307843
13964.0,6,8,1994,645.0,2087,0,,,SLvl,Flat,Wd Sdng,GasA,Normal,261490
13284.0,3,2,1966,517.0,3816,1,185.0,Somerst,2Story,Hip,MetalSd,GasW,Partial,229215
8265.0,8,3,1992,1918.0,2215,2,946.0,NAmes,SLvl,Flat,HdBoard,Grav,Normal,276865
18850.0,7,8,2015,1396.0,3873,2,117.0,Somerst,1Story,Flat,VinylSd,Grav,Normal,375803
6426.0,2,3,2017,189.0,2460,1,784.0,NAmes,2Story,Hip,HdBoard,Grav,Abnorml,174714
16423.0,7,1,1983,78.0,2980,1,125.0,OldTown,SLvl,Hip,VinylSd,GasA,Normal,292679
13363.0,1,9,1950,1570.0,2514,1,985.0,NAmes,1.5Fin,Gable,HdBoard,Grav,Normal,179889
18023.0,9,8,1972,815.0,1111,2,131.0,CollgCr,SLvl,Gable,VinylSd,GasA,Partial,281801
10322.0,7,4,1955,1905.0,3009,1,160.0,,SLvl,Hip,HdBoard,GasA,Partial,330433
3685.0,6,8,1965,71.0,3425,1,701.0,Somerst,1.5Fin,Flat,MetalSd,GasW,Normal,285537
2769.0,2,5,1951,2090.0,783,3,592.0,Edwards,1Story,Gable,Wd Sdng,GasA,Abnorml,140402
4433.0,3,3,1976,802.0,3170,3,873.0,OldTown,2Story,Gable,Wd Sdng,GasW,Partial,279542
7311.0,1,1,1968,1129.0,3347,3,711.0,CollgCr,2Story,Hip,Wd Sdng,GasW,Partial,212200
7051.0,5,5,1977,1694.0,2127,2,345.0,Edwards,1.5Fin,Flat,HdBoard,GasW,Partial,237136
8420.0,9,6,1984,2404.0,2111,1,938.0,Somerst,2Story,Gable,MetalSd,GasW,Normal,319926
19568.0,6,4,2017,2055.0,1216,0,83.0,NAmes,1.5Fin,Hip,MetalSd,GasW,Normal,207643
8396.0,5,7,1998,1797.0,1033,2,41.0,OldTown,1.5Fin,Hip,Wd Sdng,GasA,Partial,178713
