Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Purchased
1,50.0,Male,50000.0,30.0,Mumbai,No
2,35.0,unknown,50000.0,10.0,unknown,Yes
3,35.0,Male,20000.0,50.0,unknown,No
5,50.0,unknown,70000.0,50.0,unknown,unknown
6,35.0,Female,50000.0,40.0,Pune,Yes
7,30.0,Male,50000.0,10.0,unknown,No
8,50.0,unknown,20000.0,40.0,Pune,Yes
11,35.0,Male,70000.0,20.0,unknown,unknown
13,35.0,Female,50000.0,10.0,Pune,No
16,40.0,Male,50000.0,40.0,Ahmedabad,Yes
17,25.0,Male,50000.0,50.0,Mumbai,No
18,35.0,Female,50000.0,10.0,Pune,No
20,25.0,Female,30000.0,10.0,unknown,No
22,18.0,Female,70000.0,50.0,Pune,No
23,35.0,Male,20000.0,30.0,Delhi,Yes
24,45.0,Female,50000.0,30.0,Delhi,unknown
25,35.0,Male,30000.0,20.0,Pune,Yes
26,18.0,Male,20000.0,40.0,unknown,No
27,35.0,Male,30000.0,20.0,Delhi,Yes
29,50.0,Male,50000.0,50.0,Ahmedabad,No
30,35.0,Female,50000.0,10.0,Delhi,Yes
32,30.0,Male,20000.0,50.0,unknown,Yes
33,40.0,Female,20000.0,30.0,Pune,Yes
35,50.0,Male,20000.0,10.0,unknown,unknown
37,35.0,Male,30000.0,10.0,unknown,unknown
39,25.0,Female,50000.0,40.0,Ahmedabad,No
40,35.0,unknown,50000.0,40.0,Delhi,Yes
41,35.0,Female,50000.0,30.0,Pune,No
44,35.0,Male,50000.0,50.0,Pune,No
45,35.0,Male,50000.0,50.0,unknown,No
46,40.0,Male,30000.0,30.0,unknown,unknown
47,25.0,Female,70000.0,40.0,Delhi,No
48,35.0,Female,50000.0,30.0,unknown,No
52,18.0,Female,50000.0,30.0,Mumbai,Yes
53,35.0,Male,70000.0,30.0,unknown,No
54,25.0,Male,50000.0,50.0,unknown,No
56,35.0,unknown,20000.0,10.0,unknown,Yes
58,45.0,Female,50000.0,40.0,Mumbai,Yes
59,45.0,Male,50000.0,40.0,Pune,No
60,35.0,Female,50000.0,30.0,Delhi,No
61,35.0,Male,20000.0,40.0,unknown,Yes
65,25.0,Male,30000.0,50.0,Mumbai,unknown
66,35.0,Male,30000.0,30.0,Pune,Yes
67,35.0,unknown,50000.0,50.0,Delhi,Yes
68,35.0,Male,50000.0,30.0,Ahmedabad,Yes
69,50.0,Male,30000.0,20.0,unknown,Yes
70,35.0,Male,20000.0,30.0,unknown,unknown
73,25.0,Male,50000.0,20.0,Pune,Yes
74,40.0,Male,70000.0,10.0,unknown,No
75,35.0,Male,50000.0,10.0,Ahmedabad,Yes
76,35.0,Female,70000.0,20.0,Delhi,No
77,35.0,Female,50000.0,30.0,Ahmedabad,No
78,35.0,unknown,50000.0,30.0,unknown,Yes
79,18.0,Female,50000.0,50.0,unknown,unknown
80,35.0,Male,70000.0,50.0,Delhi,No
81,50.0,Male,70000.0,30.0,unknown,No
84,18.0,Male,50000.0,10.0,unknown,No
85,35.0,Female,50000.0,10.0,Mumbai,No
86,35.0,Female,50000.0,30.0,Mumbai,No
87,30.0,Male,70000.0,40.0,unknown,unknown
88,18.0,unknown,70000.0,20.0,Pune,No
89,35.0,Male,30000.0,10.0,Ahmedabad,unknown
90,30.0,Male,50000.0,50.0,Pune,Yes
91,30.0,Male,50000.0,30.0,Mumbai,Yes
92,18.0,Female,50000.0,20.0,Mumbai,No
93,40.0,Female,70000.0,30.0,unknown,unknown
94,35.0,unknown,50000.0,20.0,Pune,unknown
96,35.0,Female,30000.0,30.0,Mumbai,No
99,35.0,Male,30000.0,30.0,unknown,unknown
101,25.0,Male,50000.0,50.0,unknown,No
102,18.0,Male,70000.0,50.0,Mumbai,unknown
104,50.0,unknown,50000.0,10.0,Pune,unknown
106,40.0,Female,30000.0,40.0,unknown,No
107,30.0,Male,20000.0,30.0,Pune,No
108,35.0,Male,20000.0,50.0,Ahmedabad,unknown
109,45.0,Male,70000.0,20.0,unknown,unknown
110,30.0,unknown,50000.0,30.0,Pune,unknown
111,18.0,Male,70000.0,10.0,Delhi,No
112,30.0,unknown,70000.0,30.0,unknown,unknown
113,40.0,Female,70000.0,30.0,Delhi,unknown
114,30.0,Female,70000.0,40.0,Mumbai,No
115,18.0,Male,50000.0,50.0,unknown,Yes
116,40.0,Male,50000.0,10.0,Pune,Yes
117,35.0,Male,30000.0,30.0,Delhi,Yes
118,50.0,Male,20000.0,10.0,unknown,No
119,50.0,unknown,70000.0,20.0,Mumbai,Yes
120,35.0,Male,30000.0,40.0,Ahmedabad,unknown
121,35.0,Male,20000.0,20.0,unknown,No
124,50.0,Female,50000.0,10.0,Ahmedabad,No
126,35.0,Male,20000.0,30.0,Mumbai,No
128,40.0,Male,50000.0,20.0,Ahmedabad,No
129,50.0,Female,20000.0,40.0,unknown,Yes
131,35.0,Male,50000.0,30.0,Delhi,unknown
132,50.0,unknown,50000.0,30.0,Pune,No
133,30.0,Male,30000.0,50.0,unknown,unknown
135,25.0,unknown,70000.0,20.0,Ahmedabad,unknown
137,35.0,Male,20000.0,50.0,unknown,unknown
138,40.0,Male,20000.0,40.0,Delhi,Yes
140,35.0,Female,50000.0,40.0,Delhi,Yes
141,35.0,Female,50000.0,50.0,unknown,Yes
142,50.0,unknown,20000.0,50.0,Mumbai,Yes
143,35.0,Female,50000.0,10.0,Ahmedabad,Yes
144,50.0,Female,20000.0,20.0,Delhi,No
145,18.0,Male,30000.0,50.0,Pune,No
146,18.0,Female,70000.0,30.0,unknown,unknown
147,35.0,Female,20000.0,50.0,Pune,Yes
148,35.0,Female,50000.0,30.0,unknown,No
149,35.0,Female,30000.0,20.0,unknown,No
150,35.0,Female,20000.0,30.0,Pune,No
151,30.0,Female,50000.0,20.0,Delhi,No
152,50.0,Female,70000.0,30.0,Delhi,unknown
153,45.0,Female,20000.0,50.0,Pune,No
154,35.0,Female,30000.0,50.0,Delhi,Yes
155,35.0,Male,50000.0,10.0,unknown,No
157,18.0,Female,30000.0,30.0,unknown,Yes
158,30.0,Male,30000.0,40.0,unknown,Yes
159,35.0,unknown,50000.0,10.0,unknown,No
160,35.0,Male,30000.0,30.0,unknown,unknown
161,45.0,Male,50000.0,30.0,Delhi,Yes
162,35.0,Male,20000.0,10.0,Mumbai,unknown
163,35.0,Male,50000.0,50.0,Delhi,No
164,35.0,Female,50000.0,30.0,Ahmedabad,Yes
165,18.0,Male,70000.0,50.0,Delhi,unknown
166,18.0,Female,50000.0,10.0,unknown,unknown
167,35.0,Male,50000.0,50.0,Delhi,Yes
169,50.0,unknown,20000.0,40.0,Mumbai,Yes
172,18.0,unknown,50000.0,30.0,Pune,Yes
173,40.0,Female,20000.0,40.0,Ahmedabad,Yes
175,35.0,Male,50000.0,50.0,unknown,No
176,18.0,Male,50000.0,30.0,Pune,unknown
178,25.0,Female,30000.0,20.0,Mumbai,No
179,25.0,unknown,70000.0,10.0,Ahmedabad,Yes
180,45.0,Female,30000.0,30.0,unknown,No
183,18.0,Male,20000.0,20.0,Mumbai,No
184,18.0,Male,70000.0,20.0,Delhi,Yes
185,30.0,unknown,20000.0,30.0,unknown,Yes
186,25.0,Male,20000.0,50.0,Pune,No
187,40.0,Female,70000.0,30.0,Delhi,unknown
190,50.0,Male,70000.0,20.0,Mumbai,No
191,35.0,Female,50000.0,40.0,Mumbai,Yes
192,50.0,Male,20000.0,20.0,Mumbai,Yes
193,35.0,unknown,20000.0,30.0,Mumbai,Yes
194,18.0,Male,50000.0,50.0,unknown,No
196,35.0,Male,50000.0,40.0,unknown,Yes
198,35.0,Male,50000.0,20.0,Mumbai,No
201,45.0,Male,50000.0,30.0,Delhi,Yes
202,18.0,Male,20000.0,10.0,unknown,Yes
203,35.0,Male,50000.0,10.0,unknown,No
204,45.0,unknown,50000.0,10.0,unknown,No
206,35.0,Male,50000.0,20.0,unknown,unknown
207,35.0,Male,30000.0,40.0,Ahmedabad,No
208,30.0,Male,20000.0,50.0,unknown,No
210,30.0,Male,50000.0,30.0,Delhi,No
211,30.0,Male,30000.0,30.0,unknown,unknown
212,35.0,Male,30000.0,30.0,Mumbai,unknown
214,35.0,Male,70000.0,20.0,unknown,No
215,35.0,Female,20000.0,10.0,Ahmedabad,Yes
216,18.0,Female,30000.0,20.0,Mumbai,No
219,25.0,Male,50000.0,40.0,Mumbai,Yes
221,18.0,Male,20000.0,30.0,Mumbai,Yes
222,35.0,unknown,50000.0,50.0,Pune,No
223,35.0,Male,50000.0,50.0,Delhi,No
224,25.0,Male,30000.0,30.0,unknown,Yes
225,50.0,Male,30000.0,40.0,Ahmedabad,No
226,35.0,Male,50000.0,40.0,Pune,No
228,50.0,unknown,30000.0,20.0,Mumbai,unknown
229,35.0,Male,70000.0,40.0,Mumbai,No
230,35.0,Male,20000.0,30.0,Mumbai,Yes
231,35.0,Female,70000.0,10.0,Mumbai,Yes
232,18.0,Female,30000.0,40.0,Ahmedabad,unknown
233,25.0,Female,50000.0,30.0,Pune,Yes
234,18.0,Female,20000.0,10.0,unknown,No
235,40.0,Female,20000.0,20.0,Delhi,Yes
236,40.0,unknown,50000.0,30.0,Ahmedabad,No
