Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Purchased
1,50,Male,50000,,Mumbai,N
2,35,,50000,10,,Yes
3,,Male,20000,50,,No
4,40,Male,999999,,Delhi,No
5,50,,70000,50,,
6,-5,F,,40,Pune,Y
7,30,Male,50000,10,,No
8,50,,20000,40,Pune,Y
9,,male,,120,Pune,N
10,40,M,999999,10,Pune,Yes
11,35,M,70000,20,,
12,,Male,999999,,Pune,Y
13,,F,50000,10,Pune,No
14,30,F,,120,Delhi,Y
15,45,male,,120,Mumbai,No
16,40,Male,,40,Ahmedabad,Y
17,25,M,50000,50,Mumbai,No
18,,F,50000,10,Pune,N
19,45,Male,999999,,Delhi,No
20,25,F,30000,10,,No
21,40,,999999,30,Delhi,Yes
22,18,F,70000,50,Pune,No
23,-5,M,20000,,Delhi,Yes
24,45,Female,,,Delhi,
25,150,male,30000,20,Pune,Yes
26,18,male,20000,40,,N
27,-5,M,30000,20,Delhi,Yes
28,30,F,999999,,Ahmedabad,
29,50,Male,50000,50,Ahmedabad,N
30,35,F,,10,Delhi,Y
31,150,M,999999,10,,Y
32,30,male,20000,50,,Yes
33,40,F,20000,,Pune,Yes
34,30,male,20000,120,Ahmedabad,
35,50,Male,20000,10,,
36,40,male,20000,120,Delhi,No
37,150,male,30000,10,,
38,50,Female,999999,10,Mumbai,No
39,25,Female,,40,Ahmedabad,N
40,35,,50000,40,Delhi,Yes
41,150,Female,50000,30,Pune,N
42,25,male,999999,20,,
43,-5,M,999999,50,Delhi,N
44,150,male,50000,50,Pune,N
45,-5,M,50000,50,,N
46,40,M,30000,30,,
47,25,Female,70000,40,Delhi,N
48,35,F,,,,No
49,50,Male,20000,120,,
50,,Female,70000,120,,N
51,30,Female,999999,,,
52,18,F,50000,30,Mumbai,Y
53,35,Male,70000,,,No
54,25,male,,50,,N
55,,,999999,20,Pune,Y
56,35,,20000,10,,Y
57,25,male,20000,120,,
58,45,Female,,40,Mumbai,Y
59,45,Male,,40,Pune,No
60,-5,Female,50000,30,Delhi,No
